ကျောက်တံတား,ပန်းပဲတန်း,လမ်းမတော်,လသာ,ဒဂုံ,အလုံ,စမ်းချောင်း,ကြည့်မြင်တိုင်,ဗိုလ်တထောင်,ပုဇွန်တောင်,မင်္ဂလာတောင်ညွန့်,သာကေတ,ဒေါပုံ,တာမွေ,သင်္ဃန်းကျွန်း,ရန်ကင်း,တောင်ဥက္ကလာပ,ဗဟန်း,ကမာရွတ်,လှိုင်,မရမ်းကုန်း,မြောက်ဥက္ကလာပ,မြောက်ဒဂုံ,တောင်ဒဂုံ,အရှေ့ဒဂုံ,ဒဂုံဆိပ်ကမ်း,အင်းစိန်,လှိုင်သာယာအရှေ့ပိုင်း,လှိုင်သာယာအနောက်ပိုင်း,မင်္ဂလာဒုံ,ရွှေပြည်သာ,လှည်းကူး,မှော်ဘီ,ထန်းတပင်,တိုက်ကြီး,ဆိပ်ကြီးခနောင်တို,ဒလ,ကော့မှူး,ကွမ်းခြံကုန်း,တွံတေး,သန်လျင်,ကျောက်တန်း,ခရမ်း,သုံးခွ,ကိုကိုးကျွန်း
,,,,,,,ဝါးရုံဆိပ်/ အေးရွာ (အနောက်),,,,,,,စံပြ,,,ရွှေနံသာ,,,,,အမှတ် (၄၇),အမှတ် (၇၁),အမှတ် (၁၁၂),အမှတ် (၈၇),,,,ပဲခူးလမ်း,အမှတ် (၂၂),ဝါးနက်ကုန်း,ကုလားကုန်း (ဦးထွန်းလှအစု),အပြင်ရေကျော်,လောက်လေးချောင်း,,ရာဇသင်္ကြန်,ခလောင်,တော်ခရမ်းအရှေ့,တံခွန်တိုင်,ရုံးသပြေကန်,ဇွဲကနာ,အလယ်ရွာ,မင်း,
,,,,,,,,,,,,,,ကြီးပွားရေး,,,,,,,,အမှတ် (၄၈),အမှတ် (၇၂),အမှတ် (၁၁၃),အမှတ် (၈၈),,,,တိလောကရုံ,အမှတ် (၂၃),ရဲမွန်,မြို့ချောင်း,အတွင်းရေကျော်,သရက်ချောင်း,,ကျန်းမာရေးဝန်ထမ်းအိမ်ရာ,ကညင်ငူ,တော်ခရမ်းအနောက်,အဒွန်း,မင်္ဂလွန်း,အစဲ,အေးရွာ,အိဿယျ,
,,,,,,,,,,,,,,လေးထောင့်ကန်,,,,,,,,အမှတ် (၄၉),အမှတ် (၁၀၄),အမှတ် (၁၁၄),အမှတ် (၈၉),,,,လမ်းဆုံပိုင်း,အုပ်ဖို,ဇရပ်ကွင်း,ကံကလေး​ (အမ်),လှည်းဆိပ်,ကြိုက်စကိုင်း,,တာကြီး,ရှာဘွား,တောင်ကုန်း,တွံတေးဝ,ဘောသပြေကန်,မင်္ဂလွန်း,စွယ်ကတော့,သုံးခွ (အနောက်),
,,,,,,,,,,,,,,ရန်ကုန်သစ်,,,,,,,,အမှတ် (၅၀),အမှတ် (၁၀၅),အမှတ် (၁၁၅),အမှတ် (၉၀),,,,စျေးပိုင်း,ဇီးကုန်း,သူငယ့်ချောင်,မြောင်းတကာ,ဓါတ္တော်ကုန်း,ဂျိုးဖြူ,,ရခိုင်ချောင် (တောင်),တကူပုံ,တော်ကူးအရှေ့,ပသီ,ကရင်ဆိပ်,နရွဲချောင်,ပိန်းကန်,နံယော,
,,,,,,,,,,,,,,သုဝဏ္ဏ (၂၄),,,,,,,,အမှတ် (၅၁),အမှတ် (၁၀၆),အမှတ် (၁၁၆),အမှတ် (၉၁),,,,ရွာမပိုင်း,ကျောင်းကုန်း,အင်းတိုင်,ညောင်ကုန်း,မဲပလီ,ယင်းတိုက်ကွင်း,,ရခိုင်ချောင် (မြောက်),ငှက်အော်စမ်း,တော်ကူးအနောက်,ဇီးဖြူကုန်း,သပြေကုန်း,စစ်တပင်,လှဘီလူး,ပဒတ္တိုင်း,
,,,,,,,,,,,,,,သုဝဏ္ဏ (၂၅),,,,,,,,အမှတ် (၄၁) တိုးချဲ့,အမှတ် (၁၀၇),အမှတ် (၁၁၇),အမှတ် (၉၂),,,,ထောက်ကြံ့တိုးချဲ့,လှော်ကား,အလံဂပို,မြစ်ကျိုး,ကြမန်း,ဥတို,,ဓနုတ်စံပြ,နတ်ရေတွင်း,တောကျောင်း,ခလောက်ချိုက်,ပုဂံတောင်,မြကိုင်း,မကျီးကန်,လက်ပန်နန်းခလဲ,
,,,,,,,,,,,,,,သုဝဏ္ဏ (၂၉),,,,,,,,,အမှတ် (၁၄၀),အမှတ် (၁၁၈),အမှတ် (၉၃),,,,နွယ်ခွ,,စိုင်ဒီကုန်း,ရွှေမြယာကုန်း,ဘောလည်,သနတ်ချောင်းဘူတာ,,ညောင်ချောင်း,ဇရပ်ကုန်း,တော်ပြာ,ခရမ်းဝ,အလွန်းဆုတ်,ဘိုးဘ,ရိုးကြီး,စပါယ်ချောင်,
,,,,,,,,,,,,,,စုပေါင်းအိမ်ရာ,,,,,,,,,အမှတ် (၁၄၁),အမှတ် (၁၁၉),အမှတ် (၉၄),,,,ကုန်းတလဘောင်,,ကျီးကန်းသိုက်,ပေါက်ကုန်း,တလိုင်မှီ,အုပ်ပုံ,,တုံးတင်ဂံ (တောင်),ရွာတန်းရှည်,တော်လန်း,ခရမ်းကြီး,ကျောင်းကုန်းဆိပ်ကြီး (ခ) ဂျမား,သနပ္ပင်ချင်း,ကျုံတူး,ကြုံကြိတ်,
,,,,,,,,,,,,,,အောင်ဆုပန်,,,,,,,,,အမှတ် (၁၄၂),အမှတ် (၁၂၀),အမှတ် (၉၈),,,,ရွှေနံ့သာ,,စာဘူးတောင်း,သန္ဒေပင်,ကမြိုင်,ဖလုံကန်ကုန်း,,တုံးတင်ဂံ (မြောက်),ပိန္နဲကုန်း,တော်ခလူး,ခရမ်းဖျား,လက်ယက်စမ်း,ဘော်ဂလွတ်,တမံကြီး,ကဒပ်ပန,
,,,,,,,,,,,,,,(၁) မိကျောင်းကန်,,,,,,,,,အမှတ် (၁၄၃),အမှတ် (၁၂၁),အမှတ် (၁၄၈),,,,ပျဥ်းမပင်,,နန္တိ,ဘွက်ကြီး,ရွှေကြာဗျိုက်,ကြာအင်း,,ဘိုးဖြူချောင်း,အဖျောက်,တော်ခရမ်းလေး,ကလီထော်,သူဌေးကွင်း,ချောင်းဝ,ကမာကလုတ်,ဆယ်,
